INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Paul Mitchell the School-Modesto,Modesto,CA,95350,-2,1,-120.993745,37.68301
Paul Mitchell the School-Fresno,Fresno,CA,93710,-2,1,-119.782437,36.809778
Unitek College,Fremont,CA,94538,3,3,-121.961761,37.50904
Gurnick Academy of Medical Arts,San Jose,CA,95112,2,2,-121.912991,37.364294
Paul Mitchell the School-East Bay,Pleasant Hill,CA,94523,-2,1,-122.061226,37.94492
Touro University Worldwide,Los Alamitos,CA,90720,2,2,-118.057754,33.808683
Touro University California,Vallejo,CA,94592,2,2,-122.263949,38.085479
Moreno Valley College,Moreno Valley,CA,92551,3,4,-117.20271,33.88744
Norco College,Norco,CA,92860,3,4,-117.570212,33.917387
New York Film Academy,Burbank,CA,91505,2,2,-118.335567,34.152076
International College of Cosmetology,Oakland,CA,94601-3525,-2,1,-122.220803,37.774887
Galaxy Medical College,North Hollywood,CA,91606-1593,1,1,-118.396209,34.186976
American Medical Sciences Center,Glendale,CA,91204-5108,1,1,-118.256991,34.147117
Santa Ana Beauty Academy,Santa Ana,CA,92705-7820,-2,1,-117.835205,33.766402
Elite Cosmetology School,PALM DESERT,CA,92260,-2,1,-116.394724,33.723624
Cinta Aveda Institute,San Francisco,CA,94108-3204,-2,1,-122.404307,37.790935
Southern California Health Institute,North Hollywood,CA,91601,-2,1,-118.370014,34.173485
Academy for Salon Professionals,Northridge,CA,91324,-2,1,-118.558215,34.23396
International College of Beauty Arts & Sciences,Los Angeles,CA,90039-1012,-2,1,-118.273227,34.148057
John Paul the Great Catholic University,Escondido,CA,92025,1,1,-117.082401,33.12085
CET-Soledad,Soledad,CA,93960-2996,-2,1,-121.316599,36.41456
UEI College-Oceanside,Oceanside,CA,92058-2321,-2,1,-117.36182,33.204442
UEI College-Garden Grove,Garden Grove,CA,92840-2409,-2,2,-117.943701,33.801877
UEI College-Riverside,Riverside,CA,92507-5344,-2,2,-117.351755,33.975392
Los Angeles Pacific University,San Dimas,CA,91773-1741,2,2,-117.827484,34.110723
San Joaquin Valley College-Temecula,Temecula,CA,92590-5678,2,1,-117.166502,33.525983
The Colleges of Law at Santa Barbara,Santa Barbara,CA,93101,1,1,-119.70516,34.424542
The University of America,Temecula,CA,92590,-2,-1,-117.167871,33.519293
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,91411,-2,1,-118.465561,34.177483
Annenberg School of Nursing,Reseda,CA,91335-5426,-2,1,-118.553851,34.200825
Medical Allied Career Center,Santa Fe Springs,CA,90670-4710,-2,1,-118.062402,33.91871
Diamond Beauty College,South El Monte,CA,91733-2180,-2,1,-118.0467,34.063052
Unitek College,South San Francisco,CA,94080-1005,-2,1,-122.455603,37.65642
Unitek College,Hayward,CA,94541-7026,-2,1,-122.116059,37.661039
Advance Beauty Techs Academy,San Jacinto,CA,92583-6572,-2,1,-117.517655,33.884074
Brand College,Glendale,CA,91203,-2,1,-118.265551,34.15799
Hinton Barber and Beauty College,Vallejo,CA,94590,-2,1,-122.245384,38.109629
Advanced Career Institute,Visalia,CA,93291,-2,1,-119.377615,36.34084
Platt College-Riverside,Riverside,CA,92507,2,1,-117.298365,33.932923
UEI College-Stockton,Stockton,CA,95207-0000,-2,1,-121.308461,37.99756
California Miramar University,San Diego,CA,92108-1739,1,1,-117.11851,32.77942
Grace Mission University,Fullerton,CA,92833-3860,1,1,-117.958208,33.867663
Santa Ana Beauty College,Santa Ana,CA,92706-2321,-2,1,-117.895913,33.759423
Ukiah Adult School,Ukiah,CA,95482-3865,-2,1,-123.215034,39.160947
Riverside County Office of Education-School of Career Education,Riverside,CA,92508,-2,1,-117.294699,33.91733
Xavier College School of Nursing,Stockton,CA,95202-1017,1,1,-121.293267,37.966315
Lawrence & Company College of Cosmetology,Hanford,CA,93230-4102,-2,1,-119.637371,36.33339
California Career Institute,Anaheim,CA,92806,-2,1,-117.887923,33.816691
J D Academy of Salon and Spa,Danville,CA,94526,-2,1,-121.995828,37.818164
Sanford Burnham Prebys Medical Discovery Institute,La Jolla,CA,92037-1005,1,1,-117.241748,32.900056
San Joaquin Valley College-Lancaster,Lancaster,CA,93534-7018,1,1,-118.148431,34.648563
